Internal_ID,Internal_Variant_ID,Brand,FC_Title_Short,US_Title_Short,SKU,Visible,Stock_Disable_Sold_Out,Score,Priorité,Type de correction,Erreurs critiques,Erreurs majeures,Erreurs mineures,Alertes catalogue
35876740,!ID:58920247,AVANTI,"Flat Iron | Fer Plat Titane (1"") - AVCRM3C","Flat Iron | Titanium Flat Iron (1"") - AVCRM3C",AVCRM3C,Y,N,100,Conforme,,,,,
35876771,!ID:58920280,BABYLISSPRO,Nano-Titane | Séchoir Céramique - BNT5547C,Nano-Titanium | Ceramic Dryer - BNT5547C,BNT5547C,Y,N,100,Conforme,,,,,
35876772,!ID:58920281,BABYLISSPRO,Pinceau | Pinceau à Teinture Large - BES399UCC,Tint Brush | Large Tint Brush - BES399UCC,BES399UCC,Y,N,100,Conforme,,,,,
35876773,!ID:58920282,BABYLISSPRO,Pinceau à Teinture | Pinceau à Teinture Étroit - BES400UCC,Tint Brush | Narrow Tint Brush - BES400UCC,BES400UCC,Y,N,100,Conforme,,,,,
35876799,!ID:58920319,BABYLISSPRO,Cylindre Gradué - BES445UCC,Measuring Cylinder  - BES445UCC,BES445UCC,Y,N,100,Conforme,,,,,
35876859,!ID:58920512,JOICO,Vero K-Pak Color | Intensifiant / Correcteur,Vero K-Pak Color | Intensifier / Corrector,,N,Y,95,Action requise,Titre à corriger,,Marque présente dans un titre,,Produit invisible — vérifier si volontaire
35876864,!ID:58920523,JOICO,Vero K-Pak Color | Ultra Haut Éclaircissement,Vero K-Pak Color | Ultra High Lift,,N,Y,95,Action requise,Titre à corriger,,Marque présente dans un titre,,Produit invisible — vérifier si volontaire
35876904,!ID:58920674,JOICO,Vero K-Pak Color | Poudre Éclaircissante,Vero K-Pak Color | Lightening Powder,,Y,N,100,Conforme,,,,,
35876904,!ID:58920679,JOICO,Vero K-Pak Color | Poudre Éclaircissante,Vero K-Pak Color | Lightening Powder,,Y,N,100,Conforme,,,,,
35877005,!ID:58920858,DANNYCO,Brosse | Brosse avec Manche en Bois de Chêne,Brush | Oakwood Handle Brush,731C,Y,N,100,Conforme,,,,,
35877005,!ID:58920859,DANNYCO,Brosse | Brosse avec Manche en Bois de Chêne,Brush | Oakwood Handle Brush,732C,Y,N,100,Conforme,,,,,
35877005,!ID:58920860,DANNYCO,Brosse | Brosse avec Manche en Bois de Chêne,Brush | Oakwood Handle Brush,733C,Y,N,100,Conforme,,,,,
35877007,!ID:58920862,DANNYCO,Brosse | Brosse en Poils de Sanglier,Brush | Natural Boar Brush,743C,Y,N,100,Conforme,,,,,
35877007,!ID:58920863,DANNYCO,Brosse | Brosse en Poils de Sanglier,Brush | Natural Boar Brush,744C,Y,N,100,Conforme,,,,,
35877007,!ID:58920864,DANNYCO,Brosse | Brosse en Poils de Sanglier,Brush | Natural Boar Brush,745C,Y,N,100,Conforme,,,,,
35877007,!ID:58920865,DANNYCO,Brosse | Brosse en Poils de Sanglier,Brush | Natural Boar Brush,747C,Y,N,100,Conforme,,,,,
35877008,!ID:58920866,DANNYCO,Brosse | Brosse en Poils de Sanglier avec Manche d'éponge,Brush | Brush with Natural Boar - Sponge Handle,744-SC,Y,N,100,Conforme,,,,,
